name,city,address,phone,website,email,category,overture_id,latitude,longitude,source_release,score,priority,score_reasons,lead_type,recommended_offer
Antikor Number 1,Київ,"Степана Бандери проспект, 16А",+380504710067,,antikornumber1@gmail.com,automotive_repair,a423ad7f-3cbf-43b6-8868-49ab3712bd22,50.4866943359375,30.501298904418945,2026-07-22.0,6,HIGH,+5: немає website | +1: email на загальнодоступному сервісі,NO_WEBSITE,Новий сайт із онлайн-записом
GOOD SERVICE (Крюківщина),Київ,"Вишнева вулиця, 18",+380770042992,,goodserviceavto@gmail.com,automotive_repair,0fefe8a3-becb-4fc2-9957-fc26cff867b9,50.3853759765625,30.397724151611328,2026-07-22.0,6,HIGH,+5: немає website | +1: email на загальнодоступному сервісі,NO_WEBSITE,Новий сайт із онлайн-записом
СТО Remcars,Київ,"Вулица Омеляна Пріцака, 4",+380983576969,,andryzhur@gmail.com,automotive_repair,33b50edd-20e4-49a7-b232-5e3b491f89f9,50.468807220458984,30.371435165405273,2026-07-22.0,6,HIGH,+5: немає website | +1: email на загальнодоступному сервісі,NO_WEBSITE,Новий сайт із онлайн-записом
"Gas Lion Автосервіс, СТО та автомагазин",Київ,"Міська вулиця, 2",+380688003010,https://www.tiktok.com/@gaslionkyiv?_t=ZM-8vxZTp9jwRB,saitgaslion@gmail.com,automotive_repair,227a52a5-e4dc-43b4-b199-6e8a85e64dbc,50.528289794921875,30.36924934387207,2026-07-22.0,5,HIGH,+4: website веде на соцмережу або Google Maps | +1: email на загальнодоступному сервісі,SOCIAL_ONLY,Сайт із SEO та формою запису
vianor_grinchenka,Київ,"Миколи Грінченка вулиця, 18",+380972204422,,,tire_dealer_and_repair,dee1224c-d1e1-4edf-8f98-f65a75b39460,50.41328048706055,30.51863670349121,2026-07-22.0,5,HIGH,+5: немає website,NO_WEBSITE,Новий сайт із онлайн-записом
X-Team,Київ,"Мельника вулиця, 15",+380989952422,https://youtu.be/0vk4ykbgy-0?si=Xoi1eMmHqSrgrEUE,xteam.rt@gmail.com,automotive_repair,891f7bfa-9c21-479c-b4bc-090cf44f97dd,50.57107925415039,30.667985916137695,2026-07-22.0,5,HIGH,+4: website веде на соцмережу або Google Maps | +1: email на загальнодоступному сервісі,SOCIAL_ONLY,Сайт із SEO та формою запису
ГБО КИЇВ,Київ,"Березняківська вулиця, 21А",+380688886655,https://www.google.com/maps?cid=11401770756489500377,kovdania@gmail.com,automotive_repair,a70313e9-b5fd-4ee6-ac5c-47bd57cca402,50.42195510864258,30.607158660888672,2026-07-22.0,5,HIGH,+4: website веде на соцмережу або Google Maps | +1: email на загальнодоступному сервісі,GOOGLE_MAPS_ONLY,Лендінг + онлайн-запис
Hunters Garage,Київ,"Сумська вулиця, 3",+380933308000,https://www.youtube.com/@HuntersGarageService,service@hunters-garage.com.ua,automotive_repair,c382d57d-81ee-4490-b387-56b61adf78dc,50.39508056640625,30.48834228515625,2026-07-22.0,4,MEDIUM,+4: website веде на соцмережу або Google Maps,SOCIAL_ONLY,Сайт із SEO та формою запису
Art Customs Service,Київ,"Незалежності, 7",+380981113466,http://artcustoms.com.ua/,brovary.art.customs@gmail.com,automotive_repair,cce8d993-e736-40df-b55c-3174f30e1e1f,50.514488220214844,30.79561996459961,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
Autoservice Maslenka,Київ,"Глибочицька вулиця, 101",+380443380848,http://maslenka.ua/,maslenkakiev@gmail.com,automotive_repair,9ce15acf-712e-47d2-9bde-b7e21417bb18,50.46332931518555,30.50607681274414,2026-07-22.0,3,MEDIUM,+2: website використовує http:// | +1: email на загальнодоступному сервісі,HTTP_WEBSITE,Оновлення сайту та HTTPS
